DATE,M1109BUSM293NNBR
4/1/1939,127.1
5/1/1939,133
6/1/1939,135.1
7/1/1939,138.2
8/1/1939,137.8
9/1/1939,144.4
10/1/1939,152.55
11/1/1939,149.15
12/1/1939,148.35
1/1/1940,148.75
2/1/1940,146.95
3/1/1940,147
4/1/1940,149.05
5/1/1940,131.05
6/1/1940,117.85
7/1/1940,123.55
8/1/1940,125.35
9/1/1940,131.4
10/1/1940,132.75
11/1/1940,133.95
12/1/1940,130.4
1/1/1941,128.85
2/1/1941,121.25
3/1/1941,122.1
4/1/1941,120.1
5/1/1941,116.55
6/1/1941,120.1
7/1/1941,126.5
8/1/1941,126.55
9/1/1941,127.55
10/1/1941,122.35
11/1/1941,117.05
12/1/1941,111.5
1/1/1942,111.55
2/1/1942,107.95
3/1/1942,103.1
4/1/1942,97.7
5/1/1942,98.45
6/1/1942,103.8
7/1/1942,105.8
8/1/1942,106.2
9/1/1942,107.8
10/1/1942,112.5
11/1/1942,115.7
12/1/1942,117.15
1/1/1943,122.42
2/1/1943,127.59
3/1/1943,132.71
4/1/1943,134.06
5/1/1943,139.13
6/1/1943,141.08
7/1/1943,140.88
8/1/1943,136.22
9/1/1943,139.33
10/1/1943,138.36
11/1/1943,134.04
12/1/1943,133.46
1/1/1944,137.28
2/1/1944,135.84
3/1/1944,138.72
4/1/1944,137.06
5/1/1944,139.65
6/1/1944,145.12
7/1/1944,148.04
8/1/1944,146.93
9/1/1944,145.06
10/1/1944,147.38
11/1/1944,146.84
12/1/1944,149.92
1/1/1945,153.6
2/1/1945,157.1
3/1/1945,156.9
4/1/1945,160.22
5/1/1945,166.08
6/1/1945,166.74
7/1/1945,164
8/1/1945,167.92
9/1/1945,177.8
10/1/1945,185.06
11/1/1945,189.34
12/1/1945,192.44
1/1/1946,198.12
2/1/1946,196.5
3/1/1946,194.51
4/1/1946,203.75
5/1/1946,206.58
6/1/1946,206
7/1/1946,201.39
8/1/1946,196.86
9/1/1946,173.18
10/1/1946,169.53
11/1/1946,168.98
12/1/1946,172.91
1/1/1947,176.2
2/1/1947,180.86
3/1/1947,177.12
4/1/1947,172.07
5/1/1947,168.71
6/1/1947,172.72
7/1/1947,183.36
8/1/1947,180.69
9/1/1947,177.34
10/1/1947,181.7
11/1/1947,181.28
12/1/1947,178.45
1/1/1948,176.11
2/1/1948,170.28
3/1/1948,171.3
4/1/1948,180.55
5/1/1948,185.67
6/1/1948,190.53
7/1/1948,186.41
8/1/1948,181.44
9/1/1948,180.68
10/1/1948,185.03
11/1/1948,180.48
12/1/1948,175.57
1/1/1949,178.28
2/1/1949,175.74
3/1/1949,176.06
4/1/1949,175.2
5/1/1949,172.5
6/1/1949,164.88
7/1/1949,172.27
8/1/1949,179.43
9/1/1949,180.66
10/1/1949,186.17
11/1/1949,190.8
12/1/1949,196.62
1/1/1950,199.79
2/1/1950,203.46
3/1/1950,206.3
4/1/1950,212.67
5/1/1950,219.36
6/1/1950,221.02
7/1/1950,205.3
8/1/1950,216.6
9/1/1950,223.21
10/1/1950,229.32
11/1/1950,229.38
12/1/1950,229.26
1/1/1951,244.45
2/1/1951,253.32
3/1/1951,249.5
4/1/1951,253.36
5/1/1951,254.36
6/1/1951,249.32
7/1/1951,253.6
8/1/1951,264.92
9/1/1951,273.36
10/1/1951,269.73
11/1/1951,259.61
12/1/1951,266.09
1/1/1952,271.71
2/1/1952,265.19
3/1/1952,264.48
4/1/1952,262.55
5/1/1952,261.61
6/1/1952,268.39
7/1/1952,276.04
8/1/1952,276.7
9/1/1952,272.4
10/1/1952,267.77
11/1/1952,276.37
12/1/1952,285.95
1/1/1953,288.44
2/1/1953,283.94
3/1/1953,286.79
4/1/1953,275.28
5/1/1953,276.84
6/1/1953,266.88
7/1/1953,270.32
8/1/1953,272.21
9/1/1953,261.9
10/1/1953,270.73
11/1/1953,277.1
12/1/1953,281.15
1/1/1954,286.64
2/1/1954,292.13
3/1/1954,299.15
4/1/1954,310.92
5/1/1954,322.86
6/1/1954,327.91
7/1/1954,341.27
8/1/1954,346.06
9/1/1954,352.71
10/1/1954,358.29
11/1/1954,375.75
12/1/1954,393.84
1/1/1955,398.43
2/1/1955,410.25
3/1/1955,408.91
4/1/1955,422.99
5/1/1955,421.55
6/1/1955,440.79
7/1/1955,462.16
8/1/1955,457.29
9/1/1955,476.43
10/1/1955,452.65
11/1/1955,476.58
12/1/1955,484.58
1/1/1956,474.75
2/1/1956,475.52
3/1/1956,502.67
4/1/1956,511.04
5/1/1956,495.2
6/1/1956,485.33
7/1/1956,509.76
8/1/1956,511.69
9/1/1956,495.01
10/1/1956,483.8
11/1/1956,479.34
12/1/1956,492.01
1/1/1957,485.9
2/1/1957,466.84
3/1/1957,472.78
4/1/1957,485.42
5/1/1957,500.83
6/1/1957,505.27
7/1/1957,514.64
8/1/1957,487.97
9/1/1957,471.79
10/1/1957,443.38
11/1/1957,436.73
12/1/1957,436.94
1/1/1958,445.68
2/1/1958,444.16
3/1/1958,450.14
4/1/1958,446.9
5/1/1958,460.04
6/1/1958,471.97
7/1/1958,488.27
8/1/1958,507.55
9/1/1958,521.82
10/1/1958,539.85
11/1/1958,557.1
12/1/1958,566.43
1/1/1959,592.29
2/1/1959,590.72
3/1/1959,609.12
4/1/1959,616.99
5/1/1959,630.8
6/1/1959,631.51
7/1/1959,662.81
8/1/1959,660.58
9/1/1959,635.47
10/1/1959,637.34
11/1/1959,646.43
12/1/1959,671.35
1/1/1960,665.39
2/1/1960,624.88
3/1/1960,614.7
4/1/1960,619.98
5/1/1960,615.64
6/1/1960,644.38
7/1/1960,625.83
8/1/1960,624.47
9/1/1960,598.1
10/1/1960,582.45
11/1/1960,601.14
12/1/1960,609.54
1/1/1961,632.2
2/1/1961,650.01
3/1/1961,670.56
4/1/1961,684.9
5/1/1961,693.03
6/1/1961,691.44
7/1/1961,690.66
8/1/1961,718.64
9/1/1961,711.02
10/1/1961,703.01
11/1/1961,724.74
12/1/1961,728.44
1/1/1962,705.16
2/1/1962,711.95
3/1/1962,714.21
4/1/1962,690.28
5/1/1962,643.71
6/1/1962,572.64
7/1/1962,581.78
8/1/1962,602.51
9/1/1962,597.02
10/1/1962,580.65
11/1/1962,628.82
12/1/1962,648.38
1/1/1963,672.1
2/1/1963,679.75
3/1/1963,674.63
4/1/1963,707.12
5/1/1963,720.84
6/1/1963,719.14
7/1/1963,700.75
8/1/1963,714.15
9/1/1963,738.52
10/1/1963,747.52
11/1/1963,743.24
12/1/1963,759.94
1/1/1964,776.62
2/1/1964,793.03
3/1/1964,812.18
4/1/1964,820.94
5/1/1964,823.12
6/1/1964,817.63
7/1/1964,844.24
8/1/1964,835.3
9/1/1964,863.55
10/1/1964,875.26
11/1/1964,880.04
12/1/1964,866.73
1/1/1965,889.89
2/1/1965,894.41
3/1/1965,896.44
4/1/1965,907.71
5/1/1965,927.5
6/1/1965,878.06
7/1/1965,873.43
8/1/1965,887.7
9/1/1965,922.18
10/1/1965,944.77
11/1/1965,953.31
12/1/1965,955.19
1/1/1966,985.93
2/1/1966,977.15
3/1/1966,926.43
4/1/1966,943.7
5/1/1966,890.7
6/1/1966,888.73
7/1/1966,875.87
8/1/1966,817.55
9/1/1966,791.65
10/1/1966,778.1
11/1/1966,806.55
12/1/1966,800.86
1/1/1967,830.56
2/1/1967,851.12
